tmdbID,Title,Year,Directors,Review
91426,Princess Yang Kwei-fei,1955,Kenji Mizoguchi,#414 · Japan
36871,Late Chrysanthemums,1954,Mikio Naruse,#415 · Japan
31372,Samurai I: Musashi Miyamoto,1954,Hiroshi Inagaki,#416 · Japan
43349,Gate of Hell,1953,Teinosuke Kinugasa,#417 · Japan
199450,An Inlet of Muddy Water,1953,Tadashi Imai,#418 · Japan
270055,Love Letter,1953,Kinuyo Tanaka,#419 · Japan
148513,Wild Geese,1953,Shirō Toyoda,#420 · Japan
77057,Children of Hiroshima,1952,Kaneto Shindō,#421 · Japan
55197,Flavor of Green Tea Over Rice,1952,Yasujirō Ozu,#422 · Japan
46045,Portrait of Madame Yuki,1950,Kenji Mizoguchi,#423 · Japan
125235,Till We Meet Again,1950,Tadashi Imai,#424 · Japan
124994,Flame of My Love,1949,Kenji Mizoguchi,#425 · Japan
255943,Mr. Shosuke Ohara,1949,Hiroshi Shimizu,#426 · Japan
74126,Record of a Tenement Gentleman,1947,Yasujirō Ozu,#427 · Japan
127112,Snow Trail,1947,Senkichi Taniguchi,#428 · Japan
101382,Utamaro and His Five Women,1946,Kenji Mizoguchi,#429 · Japan
168994,Army,1944,Keisuke Kinoshita,#430 · Japan
125261,The Life of Matsu the Untamed,1943,Hiroshi Inagaki,#431 · Japan
257781,Hideko the Bus Conductress,1941,Mikio Naruse,#432 · Japan
84671,Nobuko,1940,Hiroshi Shimizu,#433 · Japan
144902,Traveling Actors,1940,Mikio Naruse,#434 · Japan
125259,Singing Lovebirds,1939,Masahiro Makino,#435 · Japan
463811,Fallen Blossoms,1938,Tamizo Ishida,#436 · Japan
91094,The Masseurs and a Woman,1938,Hiroshi Shimizu,#437 · Japan
211256,Children in the Wind,1937,Hiroshi Shimizu,#438 · Japan
276759,Okoto and Sasuke,1935,Yasujirō Shimazu,#439 · Japan
92946,Three Sisters with Maiden Hearts,1935,Mikio Naruse,#440 · Japan
91150,Apart from You,1933,Mikio Naruse,#441 · Japan
329926,The Lady Who Wept in Spring,1933,Hiroshi Shimizu,#442 · Japan
138772,The Neighbor's Wife and Mine,1931,Heinosuke Gosho,#443 · Japan
196188,What Made Her Do It?,1930,Shigeyoshi Suzuki,#444 · Japan
171563,Serpent,1925,Buntarō Futagawa,#445 · Japan
147626,Souls on the Road,1921,Minoru Murata,#446 · Japan
