Rank,Title,LetterboxdURI
1,Harakiri,https://letterboxd.com/film/harakiri/
2,The Human Condition III: A Soldier's Prayer,https://letterboxd.com/film/the-human-condition-iii-a-soldiers-prayer/
3,12 Angry Men,https://letterboxd.com/film/12-angry-men/
4,Come and See,https://letterboxd.com/film/come-and-see/
5,Seven Samurai,https://letterboxd.com/film/seven-samurai/
6,High and Low,https://letterboxd.com/film/high-and-low/
7,The Shawshank Redemption,https://letterboxd.com/film/the-shawshank-redemption/
8,The Godfather Part II,https://letterboxd.com/film/the-godfather-part-ii/
9,The Human Condition I: No Greater Love,https://letterboxd.com/film/the-human-condition-i-no-greater-love/
10,City of God,https://letterboxd.com/film/city-of-god/
11,The Lord of the Rings: The Return of the King,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/
12,Schindler's List,https://letterboxd.com/film/schindlers-list/
13,Yi Yi,https://letterboxd.com/film/yi-yi/
14,Parasite,https://letterboxd.com/film/parasite-2019/
15,The Godfather,https://letterboxd.com/film/the-godfather/
16,Ikiru,https://letterboxd.com/film/ikiru/
17,Cinema Paradiso,https://letterboxd.com/film/cinema-paradiso/
18,Ran,https://letterboxd.com/film/ran/
19,Le Trou,https://letterboxd.com/film/le-trou/
20,"The Good, the Bad and the Ugly",https://letterboxd.com/film/the-good-the-bad-and-the-ugly/
21,La Haine,https://letterboxd.com/film/la-haine/
22,A Brighter Summer Day,https://letterboxd.com/film/a-brighter-summer-day/
23,Autumn Sonata,https://letterboxd.com/film/autumn-sonata/
24,The Human Condition II: Road to Eternity,https://letterboxd.com/film/the-human-condition-ii-road-to-eternity/
25,The Dark Knight,https://letterboxd.com/film/the-dark-knight/
26,Grave of the Fireflies,https://letterboxd.com/film/grave-of-the-fireflies/
27,Neon Genesis Evangelion: The End of Evangelion,https://letterboxd.com/film/neon-genesis-evangelion-the-end-of-evangelion/
28,Woman in the Dunes,https://letterboxd.com/film/woman-in-the-dunes/
29,The Battle of Algiers,https://letterboxd.com/film/the-battle-of-algiers/
30,There Will Be Blood,https://letterboxd.com/film/there-will-be-blood/
31,GoodFellas,https://letterboxd.com/film/goodfellas/
32,The Cranes Are Flying,https://letterboxd.com/film/the-cranes-are-flying/
33,I Am Cuba,https://letterboxd.com/film/i-am-cuba/
34,Paths of Glory,https://letterboxd.com/film/paths-of-glory/
35,Interstellar,https://letterboxd.com/film/interstellar/
36,Incendies,https://letterboxd.com/film/incendies/
37,Spirited Away,https://letterboxd.com/film/spirited-away/
38,Andrei Rublev,https://letterboxd.com/film/andrei-rublev/
39,It's a Wonderful Life,https://letterboxd.com/film/its-a-wonderful-life/
40,The Ascent,https://letterboxd.com/film/the-ascent/
41,Apocalypse Now,https://letterboxd.com/film/apocalypse-now/
42,The Apartment,https://letterboxd.com/film/the-apartment/
43,Sunset Boulevard,https://letterboxd.com/film/sunset-boulevard/
44,The Lord of the Rings: The Two Towers,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/
45,Tokyo Story,https://letterboxd.com/film/tokyo-story/
46,Sansho the Bailiff,https://letterboxd.com/film/sansho-the-bailiff/
47,The Passion of Joan of Arc,https://letterboxd.com/film/the-passion-of-joan-of-arc/
48,Whiplash,https://letterboxd.com/film/whiplash-2014/
49,Fanny and Alexander,https://letterboxd.com/film/fanny-and-alexander/
50,Portrait of a Lady on Fire,https://letterboxd.com/film/portrait-of-a-lady-on-fire/
51,Mishima: A Life in Four Chapters,https://letterboxd.com/film/mishima-a-life-in-four-chapters/
52,Memories of Murder,https://letterboxd.com/film/memories-of-murder/
53,Red Beard,https://letterboxd.com/film/red-beard/
54,Close-Up,https://letterboxd.com/film/close-up/
55,Life Is Beautiful,https://letterboxd.com/film/life-is-beautiful/
56,The Red Shoes,https://letterboxd.com/film/the-red-shoes/
57,Nobody Knows,https://letterboxd.com/film/nobody-knows/
58,Witness for the Prosecution,https://letterboxd.com/film/witness-for-the-prosecution-1957/
59,Nights of Cabiria,https://letterboxd.com/film/nights-of-cabiria/
60,Barry Lyndon,https://letterboxd.com/film/barry-lyndon/
61,The Pianist,https://letterboxd.com/film/the-pianist/
62,Lawrence of Arabia,https://letterboxd.com/film/lawrence-of-arabia/
63,Spider-Man: Across the Spider-Verse,https://letterboxd.com/film/spider-man-across-the-spider-verse/
64,Farewell My Concubine,https://letterboxd.com/film/farewell-my-concubine/
65,The Empire Strikes Back,https://letterboxd.com/film/the-empire-strikes-back/
66,Eternity and a Day,https://letterboxd.com/film/eternity-and-a-day/
67,A Woman Under the Influence,https://letterboxd.com/film/a-woman-under-the-influence/
68,Do the Right Thing,https://letterboxd.com/film/do-the-right-thing/
69,Stalker,https://letterboxd.com/film/stalker/
70,Spider-Man: Into the Spider-Verse,https://letterboxd.com/film/spider-man-into-the-spider-verse/
71,Satantango,https://letterboxd.com/film/satantango/
72,Princess Mononoke,https://letterboxd.com/film/princess-mononoke/
73,The Voice of Hind Rajab,https://letterboxd.com/film/the-voice-of-hind-rajab/
74,The Handmaiden,https://letterboxd.com/film/the-handmaiden/
75,Love Exposure,https://letterboxd.com/film/love-exposure/
76,Swing Girls,https://letterboxd.com/film/swing-girls/
77,The Lord of the Rings: The Fellowship of the Ring,https://letterboxd.com/film/the-lord-of-the-rings-the-fellowship-of-the-ring/
78,Once Upon a Time in the West,https://letterboxd.com/film/once-upon-a-time-in-the-west/
79,Paper Moon,https://letterboxd.com/film/paper-moon/
80,An Elephant Sitting Still,https://letterboxd.com/film/an-elephant-sitting-still/
81,Persona,https://letterboxd.com/film/persona/
82,Scenes from a Marriage,https://letterboxd.com/film/scenes-from-a-marriage/
83,Perfect Blue,https://letterboxd.com/film/perfect-blue/
84,Good Will Hunting,https://letterboxd.com/film/good-will-hunting/
85,Dune: Part Two,https://letterboxd.com/film/dune-part-two/
86,Where Is the Friend's House?,https://letterboxd.com/film/where-is-the-friends-house/
87,In the Mood for Love,https://letterboxd.com/film/in-the-mood-for-love/
88,A Separation,https://letterboxd.com/film/a-separation/
89,Apur Sansar,https://letterboxd.com/film/apur-sansar/
90,Se7en,https://letterboxd.com/film/se7en/
91,Sherlock Jr.,https://letterboxd.com/film/sherlock-jr/
